ISO,Expenditure_per_student_secondary,Health_expenditure_per_person,pop2010,GDP2011,Per capita government expenditure on health (PPP int. $),Expenditure_per_student_tertiary,Improved_water_source,Income_per_person,Poverty_headcount_ratio_at_national_poverty_line,Present_value_of_debt,Population with sustainable access to improved sanitation (%) total,Aid_given,Gross national income per capita (PPP international $),Democracy_score,General government expenditure on health as percentage of total expenditure on health,Population annual growth rate (%),Population median age (years),Per capita government expenditure on health at average exchange rate (US$),Private expenditure on health as percentage of total expenditure on health,Healthy life expectancy (HALE) at birth (years) both sexes,Continent,Country,Gold,Silver,Bronze,,health/gm,health/sm,health/bm,,edu/gm,edu/sm,edu/bm,,ImpWater/gm,ImpWater/sm,ImpWater/bm,,Pop/gm,Pop/sm,Pop/bm,,GDP/gm/1x10^9,GDP/sm,GDP/bm,,IncomePP/gm,IncomePP/sm,IncomePP/bm,,Debt/gm,Debt/sm,Debt/bm,,Continent% of gm,Continent% of sm,Continent% of bm
AFG,,43.4,34385000,20343461030,2,39,218,233,1108,,87,254,,5.2,900,4,4,72.5,5.4,260,1,Afghanistan,0,0,1,,0,0,43.4,,0,0,39,,0,0,218,,0,0,34385000,,0,0,20.34346103,,0,0,233,,0,0,0,,25.25%,20.39%,20.22%
BGD,51,63.55,148692000,110612000000,3,74,514,546,675,16.44,80,6561,1230,2.8,2344,1.8,6,63.2,3.1,73,1,Bangladesh,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,25.25%,20.39%,20.22%
BTN,65,65.08,726000,1688939892,,62,16,18,46,,158,105,4000,4,65,1.8,7,31.4,4.5,75,1,Bhutan,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,25.25%,20.39%,20.22%
BRN,,76.92,399000,13024000000,11,99,11,11,18,106.85,,13,49900,2,70,2.1,5,20.3,1.8,10,1,Brunei,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,25.25%,20.39%,20.22%
MMR,88,61.53,47963000,50200000000,4,78,2213,2360,1978,35.62,223,2594,510,2.2,1396,0.9,8,83.2,2.3,114,1,Myanmar,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,25.25%,20.39%,20.22%
KHM,53,58.98,14139000,12875310959,2,41,450,478,432,24.66,255,949,1550,6.4,209,1.7,5,73.9,6,89,1,Cambodia,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,25.25%,20.39%,20.22%
CHN,69,72.73,1338300000,7298100000000,14,77,232796,250907,264460,21.92,68,25561,4660,4.7,136520,0.6,11,58,4.5,21,1,China,38,27,23,,1.9139473684,2.6937037037,3.162173913,,2.0263157895,2.8518518519,3.347826087,,6126.2105263158,8622.0740740741,10121.5652173913,,35218421.0526316,49566666.6666667,58186956.5217391,,192.0552631579,270.3,317.3086956522,,6602.8157894737,9292.8518518519,10909,,0.5768421053,0.8118518519,0.9530434783,,25.25%,20.39%,20.22%
IRN,86,,73973000,386670000000,9,94,302,322,5393,71.23,13,581,9800,7.8,13210,1.2,6,44.4,7.8,36,1,Iran,4,5,3,,0,0,0,,23.5,18.8,31.3333333333,,75.5,60.4,100.6666666667,,18493250,14794600,24657666.6666667,,96.6675,77.334,128.89,,80.5,64.4,107.3333333333,,17.8075,14.246,23.7433333333,,25.25%,20.39%,20.22%
IRQ,95,58.92,32031000,115388000000,7,81,54,57,275,,34,129,,4.1,3460,1.8,5,27.5,3.8,50,1,Iraq,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,25.25%,20.39%,20.22%
ISR,100,80.48,7624000,242929000000,37,100,101,110,421,104.11,6,82,23840,7.9,7726,1.7,13,34.8,7.8,6,1,Israel,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,25.25%,20.39%,20.22%
JPN,100,82.27,127451000,5867150000000,21,100,25214,27271,73785,76.71,21,3573,32840,8.2,95197,0,27,17.8,7.9,4,1,Japan,7,14,17,,11.7528571429,5.8764285714,4.8394117647,,14.2857142857,7.1428571429,5.8823529412,,3602,1801,1483.1764705882,,18207285.7142857,9103642.85714286,7497117.64705882,,838.1642857143,419.0821428571,345.1264705882,,3895.8571428572,1947.9285714286,1604.1764705882,,10.9585714286,5.4792857143,4.5123529412,,25.25%,20.39%,20.22%
JOR,94,72.22,6047000,28840197019,24,97,31,34,91,98.63,7,32,4820,10.5,4330,3.3,5,58,9.9,26,1,Jordan,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,25.25%,20.39%,20.22%
KAZ,87,66.47,16323000,186198000000,39,86,777,803,2612,71.23,169,729,8700,3.9,5612,0.7,10,35.4,3.7,33,1,Kazakhstan,7,1,5,,9.4957142857,66.47,13.294,,12.2857142857,86,17.2,,111,777,155.4,,2331857.14285714,16323000,3264600,,26.5997142857,186.198,37.2396,,114.7142857143,803,160.6,,10.1757142857,71.23,14.246,,25.25%,20.39%,20.22%
KWT,,77.42,2736000,176590000000,18,,52,54,32,101.37,19,17,48310,2.2,810,2.9,3,21.1,2.2,12,1,Kuwait,0,0,1,,0,0,77.42,,0,0,0,,0,0,52,,0,0,2736000,,0,0,176.59,,0,0,54,,0,0,101.37,,25.25%,20.39%,20.22%
KGZ,75,,5448000,5918610958,24,77,106,109,614,38.36,122,186,1790,6.1,1017,1.1,7,56.7,6.4,44,1,Kyrgyzstan,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,25.25%,20.39%,20.22%
LAO,67,,6201000,8297664741,4,51,320,340,48,10.96,67,159,1740,3.6,196,1.7,5,79.2,3.6,79,1,Laos,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,25.25%,20.39%,20.22%
LBN,100,71.75,4227000,42185230768,24,100,10,11,96,93.15,10,131,9600,8.7,3260,1.1,10,53.2,8.9,34,1,Lebanon,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,25.25%,20.39%,20.22%
MYS,95,73.94,28401000,278671000000,7,99,839,888,1007,112.33,60,766,12160,4.2,2160,1.8,7,54.8,4.3,13,1,Malaysia,0,1,1,,0,73.94,73.94,,0,99,99,,0,839,839,,0,28401000,28401000,,0,278.671,278.671,,0,888,888,,0,112.33,112.33,,25.25%,20.39%,20.22%
MNG,75,66.36,2756000,8557529910,26,62,646,687,290,32.88,178,92,2810,4.3,337,0.9,6,16.4,5.1,46,1,Mongolia,0,2,3,,0,33.18,22.12,,0,31,20.6666666667,,0,323,215.3333333333,,0,1378000,918666.666666667,,0,4.278764955,2.85250997,,0,343.5,229,,0,16.44,10.96,,25.25%,20.39%,20.22%
